"","Name","Avg_Drive","Avg_Putts","Greens_Hit","Rounds_Played","Avg_Score"
"106","Anna Nordqvist",253.418,1.825,74.9,56,71.089
"107","Mirim Lee",252.928,1.81,66.8,35,72.229
"108","Azahara Munoz",252.58,1.825,72.4,51,71.647
"109","Megan Khang",252.48,1.785,71.9,51,70.843
"110","Eun-Hee Ji",252.326,1.859,67.3,44,72.182
"111","Annie Park",252.138,1.83,68.6,40,72.125
"112","Kristen Gillman",252.071,1.824,66.5,56,72.089
"113","Sarah Jane Smith",251.797,1.85,64.8,32,73.094
"114","Shanshan Feng",251.712,1.814,72.2,26,70.808
"115","Mariah Stackhouse",251.696,1.895,69.6,28,73.286
"116","Na Yeon Choi",251.655,1.858,67.2,29,72.931
"117","Tiffany Chan",251.635,1.83,62.8,26,73.038
"118","Muni He",251.622,1.851,68.8,45,72.578
"119","Mina Harigae",251.491,1.757,70.3,53,71
"120","Mi Jung Hur",251.323,1.82,58.7,32,72.844
"121","Jasmine Suwannapura",251.246,1.834,69.6,58,71.81
"122","Esther Lee",250.638,1.832,63.8,29,72.103
"123","Caroline Inglis",250.561,1.849,68.4,42,72.5
"124","Christina Kim",250.429,1.832,68.5,43,71.907
"125","Katherine Perry-Hamski",250.364,1.868,63.1,22,73.818
"126","Min Seo Kwak",250.304,1.816,62.7,28,72.393
"127","Ashleigh Buhai",250.176,1.824,71.1,52,71.538
"128","Wei-Ling Hsu",250.092,1.795,67.7,44,71.455
"129","Haru Nomura",249.943,1.829,55.9,18,73.833
"130","Emma Talley",249.884,1.827,65.9,44,72.864
"131","Sarah Kemp",249.429,1.793,68.6,43,71.837
"132","Jane Park",249.392,1.913,69,26,73.692
"133","Stacy Lewis",249.279,1.796,72,53,70.925
"134","Ssu-Chia Cheng",249.228,1.83,67.5,47,71.915
"135","Lindsey Weaver",249.143,1.812,70,50,71.68
"136","Suzuka Yamaguchi",248.548,1.894,45.8,16,76.75
"137","Lauren Kim",247.963,1.869,70.8,27,72.815
"138","Yujeong Son",247.885,1.847,56,13,74.462
"139","Haeji Kang",247.78,1.823,67.5,47,71.553
"140","Chella Choi",247.589,1.78,74.2,49,71.02
"141","Cheyenne Knight",247.458,1.81,67.8,60,71.967
"142","Brittany Altomare",247.286,1.782,71.9,57,71.018
"143","Yani Tseng",246.903,1.892,41.7,16,78.438
"144","Pornanong Phatlum",246.633,1.848,69.1,61,71.984
"145","Bronte Law",245.509,1.854,71.4,54,72.185
"146","Lizette Salas",245.357,1.805,74.7,57,70.719
"147","Mind Muangkhumsakul",244.929,1.817,57.3,28,73.071
"148","Brianna Do",244.125,1.852,69,24,72.417
"149","Marissa Steen",243.833,1.887,68.8,40,72.525
"150","Louise Ridderstrom",243.35,1.841,68.3,20,72.45
"151","Tiffany Joh",243.115,1.902,60.4,30,73.833
"152","Lee Lopez",242.972,1.834,67,19,72.211
"153","Kristy McPherson",242.632,1.829,64.9,19,72.842
"154","Andrea Lee",241.942,1.84,64.2,34,73.5
"155","Inbee Park",241.106,1.714,71.4,47,69.596
"156","Jackie Stoelting",241.063,1.868,63.2,16,73.875
"157","Dottie Ardina",240.673,1.852,67.9,26,71.808
"158","In-Kyung Kim",240.19,1.849,67.2,29,72.448
"159","Jillian Hollis",238.413,1.814,57.2,23,74.913
"160","Aditi Ashok",238.232,1.826,61,42,72.524
"161","Mo Martin",237.818,1.887,76,22,72.591
"162","Dana Finkelstein",236.755,1.812,71.5,48,71.771
"163","Kyung Kim",236.278,1.839,65.1,18,72.5
"164","Paula Creamer",232.594,1.844,58,16,73.5
"165","Ayako Uehara",232.25,1.874,63.6,34,72.882
