grams_per_L,200mL,240mL,250mL,474mL,500mL,711mL,750mL
60,12,14.4,15,28.4,30,42.6,45
61,12.2,14.6,15.2,28.9,30.5,43.3,45.8
62,12.4,14.9,15.5,29.4,31,44,46.5
63,12.6,15.1,15.8,29.9,31.5,44.7,47.2
64,12.8,15.3,16,30.3,32,45.4,48
65,13,15.6,16.2,30.8,32.5,46.1,48.8
66,13.2,15.8,16.5,31.3,33,46.8,49.5
67,13.4,16.1,16.8,31.8,33.5,47.5,50.2
68,13.6,16.3,17,32.2,34,48.3,51
69,13.8,16.5,17.2,32.7,34.5,49,51.8
70,14,16.8,17.5,33.2,35,49.7,52.5
